epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.864,1.20554,3.01125,1.44487,0.65292,0.16152,0.19645,0.13339,1.09549,2.77911,1.5256,0.000252773,0.000252773,0.000252773
2,550.741,1.20044,2.30815,1.46407,0.86627,0.16843,0.19865,0.12845,1.12286,2.98856,1.54536,0.000504066,0.000504066,0.000504066
3,823.837,1.20161,2.1031,1.47509,0.64326,0.27179,0.19304,0.1176,1.18817,2.36775,1.49924,0.000750284,0.000750284,0.000750284
4,1095.62,1.19624,1.9025,1.4562,0.74266,0.23192,0.22441,0.13046,1.27367,2.59565,1.61837,0.000746161,0.000746161,0.000746161
5,1367.65,1.18979,1.777,1.44887,0.70505,0.32039,0.26528,0.16399,1.27928,2.33254,1.6107,0.000738548,0.000738548,0.000738548
6,1638.92,1.14516,1.66948,1.4011,0.7587,0.27153,0.27013,0.16859,1.24861,2.08358,1.67137,0.000730935,0.000730935,0.000730935
7,1911.54,1.13828,1.61885,1.39638,0.84022,0.2845,0.31796,0.19031,1.23354,1.93008,1.58467,0.000723321,0.000723321,0.000723321
8,2183.31,1.12207,1.50353,1.353,0.75257,0.32597,0.32356,0.20977,1.09457,1.85586,1.42623,0.000715708,0.000715708,0.000715708
9,2454.77,1.10403,1.51721,1.36435,0.87286,0.29092,0.37895,0.23943,1.10204,1.7098,1.4776,0.000708095,0.000708095,0.000708095
10,2727.2,1.08491,1.49101,1.36425,0.82978,0.32721,0.34988,0.22984,1.17418,1.63488,1.52787,0.000700482,0.000700482,0.000700482
11,2999.24,1.04646,1.38931,1.32256,0.86928,0.30781,0.34724,0.23141,1.05351,1.58213,1.43934,0.000692869,0.000692869,0.000692869
12,3271.13,1.06341,1.37485,1.33516,0.83697,0.30457,0.32013,0.19152,1.10547,1.64351,1.47604,0.000685256,0.000685256,0.000685256
13,3542.88,1.01373,1.32849,1.30302,0.91897,0.33135,0.40259,0.27823,1.0402,1.51932,1.39462,0.000677643,0.000677643,0.000677643
14,3817.68,0.99691,1.28239,1.29036,0.90769,0.38776,0.4028,0.28267,0.9923,1.42291,1.37506,0.00067003,0.00067003,0.00067003
15,4089.12,0.97875,1.19827,1.27056,0.92464,0.37794,0.41037,0.29607,0.97496,1.36391,1.3403,0.000662417,0.000662417,0.000662417
16,4360.97,0.96419,1.17003,1.25682,0.73758,0.32526,0.4133,0.28742,0.98191,1.34239,1.34011,0.000654804,0.000654804,0.000654804
17,4632.94,0.99126,1.14313,1.2813,0.71336,0.38356,0.41063,0.30494,0.97675,1.28568,1.35665,0.00064719,0.00064719,0.00064719
18,4904.77,0.96359,1.14909,1.26074,0.72003,0.3788,0.43038,0.31823,0.95333,1.34024,1.29903,0.000639577,0.000639577,0.000639577
19,5176.84,0.95694,1.15587,1.26094,0.68233,0.3693,0.40286,0.2823,0.97468,1.33447,1.35054,0.000631964,0.000631964,0.000631964
20,5448.8,0.94681,1.11102,1.24102,0.76081,0.34744,0.42346,0.30588,0.94504,1.23216,1.30695,0.000624351,0.000624351,0.000624351
21,5720.16,0.95607,1.09895,1.27167,0.74551,0.4234,0.46614,0.33641,0.90538,1.1592,1.27513,0.000616738,0.000616738,0.000616738
22,5992.31,0.94543,1.08448,1.25084,0.89529,0.36977,0.41693,0.29771,0.94097,1.30829,1.30981,0.000609125,0.000609125,0.000609125
23,6265.09,0.93556,1.07652,1.24781,0.72419,0.42088,0.44083,0.32059,0.96165,1.15117,1.34057,0.000601512,0.000601512,0.000601512
24,6535.53,0.90613,1.03878,1.22173,0.73047,0.37831,0.41709,0.32031,0.90269,1.19143,1.27917,0.000593899,0.000593899,0.000593899
25,6806.9,0.92295,1.04941,1.24997,0.69428,0.37618,0.42738,0.31613,0.96276,1.24777,1.32856,0.000586286,0.000586286,0.000586286
26,7078.96,0.90577,1.01613,1.23147,0.71357,0.37288,0.41887,0.30688,0.93241,1.18461,1.31007,0.000578672,0.000578672,0.000578672
27,7352.71,0.90844,0.98556,1.22959,0.76801,0.36119,0.43519,0.30605,0.94575,1.22269,1.3173,0.000571059,0.000571059,0.000571059
28,7654.28,0.8965,0.94851,1.20507,0.76905,0.37778,0.47232,0.35836,0.9473,1.07031,1.3161,0.000563446,0.000563446,0.000563446
29,7930.18,0.92176,0.93463,1.23322,0.72972,0.35446,0.42475,0.31474,0.94595,1.09211,1.29582,0.000555833,0.000555833,0.000555833
30,8201.6,0.87166,0.9421,1.20693,0.76129,0.41101,0.45788,0.3277,0.95304,1.07105,1.32601,0.00054822,0.00054822,0.00054822
31,8475.42,0.83785,0.93607,1.16583,0.76065,0.34452,0.43864,0.33504,0.86526,1.07755,1.23739,0.000540607,0.000540607,0.000540607
32,8744.62,0.85011,0.90661,1.17743,0.76675,0.40733,0.46355,0.36237,0.86024,0.99718,1.26528,0.000532994,0.000532994,0.000532994
